Id,Price
725,159828.38300144646
15856,219972.43064665634
5480,210257.69751609434
15664,351054.0950521559
14275,146756.12564397423
7633,211538.33454373563
13329,165007.78165518376
5502,219634.89945587685
4220,296712.8064116008
11538,212868.68948456552
15975,270429.17849100305
3310,217187.9008449759
9286,147905.77678001215
11260,192854.98097208032
5214,106304.4653928755
11307,184760.62505773726
13543,365935.3973959688
615,183808.73361426557
3495,218521.83634859146
2321,239516.03436101542
12046,185147.6844813216
16688,149951.7775626012
12694,226628.35790845935
783,153736.14608720166
8968,168850.24931182736
13454,177948.48659738712
12190,273912.04230812384
11160,121755.41434212579
10291,200112.74878533118
891,282472.9391996151
2982,180870.8538085177
3818,257615.31029008058
2449,194413.69918746979
8317,166544.80248215425
4922,179106.01297983472
1257,234962.78428162297
9348,204118.35395101728
4176,186332.751981579
10704,161779.56716930176
6624,114886.43595697104
5428,160970.45250118506
12749,169657.3925434196
8994,205196.74427883097
11513,145482.82898639533
3047,177276.24238951213
9519,205407.378035006
12309,237760.36423280273
14081,266023.2959619914
8334,249647.22340131074
6343,181133.85621468705
14788,135136.6691026305
15748,366148.1457248875
153,262449.6454422878
14149,183171.8509442016
269,206342.13518722713
5452,138658.05230650774
721,147579.99025324822
5079,336927.719445023
2831,108475.88463232183
10614,109731.69043106028
10131,270602.9287766969
9996,313760.46288850246
3061,194385.0887713157
11733,334262.93587679695
3726,239561.51699874684
10929,217160.59641358373
9011,403725.00688169355
16182,256919.66841290545
4976,184228.40301439335
9897,241159.65731541492
1872,161703.61219721276
9205,398748.0888092818
5403,383077.5631543601
14074,209148.9581545949
6268,152978.29811784858
14232,166769.50488338844
8532,247703.16587058295
7034,315051.2167640448
6553,487424.54402101494
3133,173118.43887002327
8596,205491.8315746711
12389,247221.7354193987
14462,177646.28137940157
8860,354402.43639183254
8377,278701.10760576173
6367,317602.5890379637
6917,256668.58206901394
4216,195563.16424521993
5806,165458.02162266165
5438,190145.6720691262
6632,192432.17973458517
2650,152642.2879406739
5396,214066.55033650022
4044,148242.8048150392
1345,216401.72588665984
856,165914.03914205421
12791,266811.73098574014
12499,216498.35425052588
12249,128902.59081050965
14641,145541.85346558868
1919,164299.4969515866
7848,200721.11696003578
10749,186440.54442042756
15554,191942.78167018108
15834,204792.14652100403
1355,138559.87547571526
15451,179078.99958193113
12401,211846.44624090032
10290,166653.5577539458
9462,120656.14711427088
3103,230692.73011776956
3420,131749.05775290137
12262,245173.66750635125
5032,137508.046181759
8949,308097.3890716977
15567,228048.36866478587
16389,169464.56074021966
7809,88615.5127551155
8990,148226.6148287902
16089,239615.13724153218
12743,96299.22247545667
5132,124593.32214747921
1619,269294.79455256544
2428,90425.65871285512
16741,169129.8706355444
13193,221866.51850384873
12588,547550.4024347055
5067,168771.27942778205
14685,127983.73828730507
2292,176749.39018750843
5746,123537.9541677226
12578,154393.75781793374
14834,177386.01502652402
2147,173756.47759234122
8222,130917.32199203722
10419,269086.91283219965
11492,214727.65024149383
3006,205936.62812954
8761,195660.8278307522
15371,352307.17074249877
16367,158564.22680474076
6317,276007.56954525434
10878,278335.435449786
3895,155795.01054054688
8041,149088.30306649875
13428,457738.73206293694
14669,157064.46817710303
1006,179982.47039288993
12271,179472.10011734883
3764,390983.8507797938
7675,198876.9777083494
11709,266574.4937071427
8629,149250.21710143663
1105,423851.5176267083
6096,189200.12702844784
11727,214955.41237594016
5157,197566.60154146227
3679,153467.12824717944
1755,135103.937907206
7391,149320.14383350173
7425,99429.01357398044
6882,422024.6365263108
10752,366449.5169335865
7472,196483.08267880918
14320,96605.280807698
9596,165363.55922406045
5317,219593.8358672797
7378,89316.35408896998
16154,183540.10287673806
3464,199451.49034112744
4197,244118.89444999542
9477,112012.92291503461
12705,197571.98155625648
16426,198733.36640204705
1481,67390.30429688121
9946,257105.07773850078
12025,223710.91047395673
5341,225925.65639105425
9923,296968.652424814
7953,277942.6607945146
11066,266701.60110298096
5037,169276.02285413633
2509,191602.48284851617
4937,328553.4354108498
12089,377649.23420527915
4964,173684.98418037756
16500,273777.6671891825
4625,146992.59689221476
2363,397078.976275422
8148,185732.00873588343
3804,181750.67760559055
4584,154751.83040849684
10694,105790.52190384673
2691,174182.69620925386
2983,222726.33707488183
13563,365417.00571871415
10747,213987.45903165863
1721,192981.63402435355
2789,271240.30392174324
7214,255478.7147327382
